Type,Method,ID,k,K,delta,b,I0,r,PS,P0,maxViral,TimeMax,cumViral
SAT1 ,Needle,7,0.147328943471765,10.999999897971,2.99999999990239,0.348858724425397,2.78816836959217,3.83465535575889,0.012747523061335,0.011588657328507,10.770671627252,2.97,26.1549787115003
SAT1 ,Needle,10,0.171895361932152,10.9999999970955,2.96649608205551,0.385166152978494,2.69460519892444,3.71758903845285,0.014134412708049,0.012849466098247,10.7049233444124,2.96,23.9014653443146
SAT1 ,Needle,11,0.15121079129874,10.9999999999999,2.99998819985633,0.395834548663373,2.92002141152538,3.53816488243964,0.013540731924995,0.012309756295477,10.6330309800713,3.05,23.0043391156243
SAT1 ,Needle,13,0.103872661578706,7.13274261496855,2.24007478973637,0.300146343995417,2.75358305872637,4.28915069727571,0.012591537812922,0.011446852557222,7.10484469958877,3.02,30.8225062770954
SAT2 ,Needle,8,0.19014688798969,6.70346863911509,2.8247641402735,0.516707099482758,2.40823996526574,4.46551751965313,0.013095543382839,0.011905039438965,6.63569206586741,2.64,18.1210962054443
SAT2 ,Needle,20,0.122789455875503,6.79129204410656,2.59847796912967,0.282583653427076,2.612770461178,5.99629966013305,0.016172932999768,0.014702680193839,6.78188419088015,2.36,33.1340887878062
SAT2 ,Needle,28,0.105327240704746,4.24037510332044,2.25836897108293,0.417037644001103,2.77597151802603,5.25778686131157,0.009829276632349,0.008935706030228,4.23367793686053,2.67,22.3565888263285
SAT2 ,Needle,32,0.126451749128206,6.10564843381465,1.98569508470485,0.312363468049125,2.4297522740595,4.59586063105953,0.012327956986479,0.011207233624555,6.0925345765339,2.98,30.4394738611765
SAT3 ,Needle,26,0.165024126627278,8.55174042300766,2.91208841574303,0.464476200414186,2.70156796777192,4.16813208347389,0.014293905473217,0.012994459521133,8.40245809825535,2.7,19.9032422041315
SAT3 ,Needle,27,0.143977162019256,7.74650027050871,2.6809243788065,0.492473114238868,2.59549622179426,3.81573632321789,0.009336293608445,0.008487539644061,7.59911519553615,3,18.8902579113299
SAT3 ,Needle,34,0.164807810676316,7.2533338884739,2.99998158521026,0.556436694926665,2.37106786058784,3.76640579470006,0.010072363650457,0.009156694227714,7.09194776462185,2.95,16.7193702307838
SAT3 ,Needle,35,0.141683581308809,5.98605839926043,2.71280511920838,0.541822912086986,2.92084594096059,4.46531307408585,0.01134909104689,0.010317355776065,5.92869516176542,2.66,16.9472793210523
