feature,mu ID2,sigma ID2,mu ID4,sigma ID4,mu ID19,sigma ID19,mu ID33,sigma ID33
P0,"(-4.8013,-4.7968)","(0.1132,0.1164)","(-5.0257,-5.0212)","(0.1128,0.116)","(-4.6395,-4.6349)","(0.1163,0.1196)","(-4.666,-4.6617)","(0.1084,0.1115)"
r,"(1.2119,1.2139)","(0.0512,0.0527)","(1.1924,1.194)","(0.0403,0.0415)","(1.356,1.3619)","(0.1481,0.1523)","(1.2148,1.2167)","(0.0488,0.0502)"
TimeMax,"(1.3505,1.3522)","(0.0428,0.044)","(1.3622,1.3635)","(0.033,0.0339)","(1.2091,1.2135)","(0.112,0.1152)","(1.3037,1.3052)","(0.0382,0.0393)"
K,"(1.86,1.8653)","(0.1336,0.1374)","(1.7807,1.7862)","(0.1384,0.1423)","(1.774,1.7796)","(0.1401,0.1441)","(2.1336,2.1397)","(0.1535,0.1578)"
maxViral,"(1.8553,1.8608)","(0.1394,0.1434)","(1.7746,1.7801)","(0.1374,0.1413)","(1.7701,1.7756)","(0.139,0.1429)","(2.1251,2.1311)","(0.1521,0.1564)"
cumViral,"(3.4145,3.4186)","(0.1016,0.1045)","(3.2606,3.2647)","(0.1013,0.1042)","(3.2734,3.2772)","(0.0965,0.0992)","(3.4773,3.4817)","(0.1118,0.1149)"
I0,"(0.6503,0.6558)","(0.1385,0.1423)","(0.6114,0.617)","(0.1402,0.1442)","(0.4864,0.4919)","(0.1395,0.1434)","(0.7913,0.7972)","(0.1489,0.1531)"
k,"(-2.0381,-2.0296)","(0.2148,0.2209)","(-1.9054,-1.8994)","(0.1511,0.1554)","(-2.033,-2.024)","(0.2261,0.2324)","(-2.2544,-2.2437)","(0.2701,0.2777)"
b,"(-1.152,-1.1479)","(0.1036,0.1065)","(-0.9909,-0.9868)","(0.1033,0.1062)","(-0.985,-0.981)","(0.0987,0.1014)","(-1.2286,-1.2241)","(0.1137,0.1169)"
delta,"(0.5852,0.5891)","(0.099,0.1018)","(0.5613,0.5652)","(0.0977,0.1004)","(0.615,0.6196)","(0.1152,0.1185)","(0.6596,0.6631)","(0.0873,0.0897)"
P0,"(-4.8093,-4.8048)","(0.1124,0.1155)","(-5.0308,-5.0263)","(0.1127,0.1158)","(-4.6439,-4.6392)","(0.1167,0.1199)","(-4.667,-4.6628)","(0.1074,0.1104)"
r,"(1.206,1.2079)","(0.0476,0.0489)","(1.1914,1.193)","(0.0411,0.0423)","(1.3479,1.3536)","(0.1445,0.1485)","(1.2137,1.2158)","(0.0516,0.053)"
TimeMax,"(1.3442,1.3457)","(0.0386,0.0397)","(1.357,1.3583)","(0.0337,0.0347)","(1.2016,1.2059)","(0.108,0.111)","(1.3008,1.3024)","(0.0401,0.0413)"
K,"(1.8733,1.8787)","(0.1363,0.1401)","(1.7802,1.7857)","(0.1399,0.1438)","(1.7802,1.7859)","(0.1421,0.1461)","(2.138,2.1441)","(0.1537,0.158)"
maxViral,"(1.8553,1.8608)","(0.1394,0.1434)","(1.7746,1.7801)","(0.1374,0.1413)","(1.7701,1.7756)","(0.139,0.1429)","(2.1251,2.1311)","(0.1521,0.1564)"
cumViral,"(3.4025,3.4065)","(0.1017,0.1045)","(3.2704,3.2744)","(0.1025,0.1054)","(3.2679,3.2718)","(0.0983,0.1011)","(3.4766,3.4811)","(0.1123,0.1154)"
I0,"(0.9279,0.9336)","(0.142,0.146)","(0.9804,0.986)","(0.1404,0.1443)","(0.9777,0.9833)","(0.1413,0.1453)","(0.9157,0.9215)","(0.1456,0.1497)"
k,"(-2.1745,-2.1654)","(0.2296,0.236)","(-2.2653,-2.2554)","(0.2506,0.2576)","(-2.2516,-2.2414)","(0.2556,0.2628)","(-2.1242,-2.1148)","(0.2378,0.2444)"
b,"(-1.1686,-1.1645)","(0.1035,0.1065)","(-1.039,-1.0349)","(0.1048,0.1077)","(-1.0305,-1.0266)","(0.1003,0.1031)","(-1.2411,-1.2365)","(0.1146,0.1179)"
delta,"(0.5852,0.5891)","(0.099,0.1018)","(0.5613,0.5652)","(0.0977,0.1004)","(0.615,0.6196)","(0.1152,0.1185)","(0.6596,0.6631)","(0.0873,0.0897)"
