Feature,"mu, ID7","sigma, ID7","mu, ID 10","sigma, ID 10","mu, ID11","sigma, ID11","mu, ID13","sigma, ID13"
P0,"(-4.1074,-4.1017)","(0.143,0.147)","(-4.0937,-4.0883)","(0.1357,0.1396)","(-4.2097,-4.2046)","(0.1274,0.131)","(-4.2211,-4.2158)","(0.1345,0.1383)"
r,"(1.5495,1.5571)","(0.1917,0.1971)","(1.3311,1.3354)","(0.1093,0.1124)","(1.2704,1.2738)","(0.0867,0.0891)","(1.5068,1.5148)","(0.2014,0.2071)"
TimeMax,"(1.0416,1.0473)","(0.1436,0.1476)","(1.0617,1.0645)","(0.0705,0.0725)","(1.1023,1.1045)","(0.0556,0.0572)","(1.055,1.0609)","(0.146,0.1501)"
K,"(2.0837,2.0886)","(0.1238,0.1273)","(2.2975,2.3024)","(0.1222,0.1256)","(2.2919,2.2972)","(0.1326,0.1363)","(1.9689,1.9739)","(0.1274,0.131)"
maxViral,"(2.081,2.0858)","(0.123,0.1264)","(2.2763,2.281)","(0.1183,0.1216)","(2.2641,2.2692)","(0.1278,0.1314)","(1.9648,1.9698)","(0.1262,0.1298)"
cumViral,"(3.5652,3.5696)","(0.1109,0.114)","(3.1459,3.15)","(0.1012,0.1041)","(3.094,3.098)","(0.0999,0.1027)","(3.4628,3.4667)","(0.099,0.1018)"
I0,"(0.2491,0.2545)","(0.136,0.1398)","(0.4754,0.4813)","(0.1492,0.1534)","(0.6539,0.6599)","(0.1502,0.1544)","(1.0873,1.093)","(0.1454,0.1495)"
k,"(-1.6898,-1.6842)","(0.142,0.146)","(-1.6247,-1.6164)","(0.2086,0.2144)","(-1.4666,-1.4605)","(0.1534,0.1577)","(-2.287,-2.2779)","(0.2285,0.2349)"
b,"(-1.2699,-1.2654)","(0.112,0.1151)","(-0.8727,-0.8686)","(0.1026,0.1055)","(-0.8405,-0.8365)","(0.1013,0.1041)","(-1.2507,-1.2467)","(0.1007,0.1035)"
delta,"(-1.2699,-1.2654)","(0.112,0.1151)","(-0.8727,-0.8686)","(0.1026,0.1055)","(-0.8405,-0.8365)","(0.1013,0.1041)","(-1.2507,-1.2467)","(0.1007,0.1035)"
P0,"(-4.1,-4.0942)","(0.1447,0.1487)","(-4.0977,-4.0923)","(0.1348,0.1386)","(-4.2101,-4.2051)","(0.1256,0.1292)","(-4.2245,-4.2192)","(0.1332,0.137)"
r,"(1.3677,1.3732)","(0.1366,0.1404)","(1.3636,1.3698)","(0.1553,0.1596)","(1.3004,1.3059)","(0.1388,0.1427)","(1.4972,1.5053)","(0.2023,0.208)"
TimeMax,"(1.056,1.0597)","(0.0913,0.0938)","(1.0333,1.0372)","(0.099,0.1017)","(1.0784,1.0819)","(0.0875,0.09)","(1.0631,1.0689)","(0.1461,0.1502)"
K,"(2.2943,2.2994)","(0.1275,0.1311)","(2.2777,2.2838)","(0.1521,0.1563)","(2.258,2.265)","(0.175,0.1799)","(1.9735,1.9787)","(0.1316,0.1353)"
maxViral,"(2.277,2.2819)","(0.1228,0.1263)","(2.2556,2.2613)","(0.1451,0.1492)","(2.23,2.2367)","(0.1664,0.1711)","(1.9694,1.9746)","(0.1304,0.134)"
cumViral,"(3.2662,3.2704)","(0.1056,0.1086)","(3.1531,3.1569)","(0.0976,0.1004)","(3.0961,3.1)","(0.0999,0.1027)","(3.4531,3.457)","(0.0997,0.1025)"
I0,"(0.9553,0.9612)","(0.1487,0.1529)","(0.9231,0.9291)","(0.1517,0.1559)","(1.0075,1.0135)","(0.1506,0.1548)","(0.9413,0.9471)","(0.1448,0.1488)"
k,"(-1.8834,-1.8734)","(0.2496,0.2566)","(-1.7351,-1.7261)","(0.2278,0.2342)","(-1.8722,-1.8617)","(0.265,0.2724)","(-2.1984,-2.1887)","(0.2439,0.2507)"
b,"(-1.0466,-1.0424)","(0.1071,0.1101)","(-0.9271,-0.9232)","(0.0991,0.1019)","(-0.8808,-0.8768)","(0.1014,0.1042)","(-1.226,-1.2219)","(0.1015,0.1044)"
delta,"(1.0217,1.0244)","(0.0697,0.0716)","(1.0483,1.0505)","(0.055,0.0565)","(1.0435,1.0459)","(0.0591,0.0607)","(0.8486,0.8539)","(0.1322,0.136)"
